date,spx_idx,spx_mkcap,fedbs,fedfundsrate,us10y,gdp_growth_real,gdp_growth_nom,gdp_real,gdp_nom,debt_gdp,short_debt,govexp_gdp,home_median,home_single_median,home_single_ave,median_earning
2003-06-30,937.9946031746032,739047.4615384615,739047.4615384615,1.25375,3.6032307692307692,3.6,5.1,13741.1,11312.77,11.8,2717397.0,181.39333333333335,177.03333333333333,177.03333333333333,221.1,619.0
2003-09-30,1000.37921875,742849.7692307692,742849.7692307692,1.015,4.199242424242424,6.8,9.3,13970.2,11566.67,11.24,2762426.0,178.95000000000002,183.1,183.1,225.86666666666667,621.0
2003-12-31,1056.453125,752946.6428571428,752946.6428571428,0.9995161290322581,4.266363636363636,4.7,7.3,14131.4,11772.23,11.32,2863932.0,190.3066666666667,181.23333333333335,181.23333333333335,225.46666666666667,623.0
2004-03-31,1132.6720967741935,757461.3076923077,757461.3076923077,1.0032258064516129,3.9932307692307694,2.3,5.2,14212.3,11923.45,11.76,3055803.0,193.61666666666667,181.0666666666667,181.0666666666667,227.20000000000002,629.0
2004-06-30,1123.1967741935484,766589.6923076923,766589.6923076923,1.01328125,4.578307692307692,3.2,6.5,14323.0,12112.82,11.37,3244497.0,191.89333333333332,193.96666666666667,193.96666666666667,244.0666666666667,642.0
2004-09-30,1103.90890625,779231.6153846154,779231.6153846154,1.439375,4.286666666666667,3.8,6.5,14457.8,12305.31,11.41,3316301.0,188.39333333333335,199.0,199.0,247.4,635.0
2004-12-31,1162.65265625,800401.7692307692,800401.7692307692,1.957142857142857,4.161060606060606,4.2,7.4,14605.6,12527.21,11.63,3544856.98,201.17999999999998,198.9,198.9,248.20000000000002,646.0
2005-03-31,1191.9481967213114,804350.4615384615,804350.4615384615,2.480483870967742,4.29484375,4.5,7.9,14767.8,12767.29,11.95,3503977.0,209.75,199.5666666666667,199.5666666666667,250.23333333333335,647.0
2005-06-30,1181.97359375,808635.7692307692,808635.7692307692,2.94265625,4.142307692307693,2.0,5.0,14839.7,12922.66,10.83,3666725.0,206.98333333333335,220.4,220.4,267.0333333333333,647.0
2005-09-30,1224.17484375,818044.5384615385,818044.5384615385,3.46234375,4.19969696969697,3.2,7.0,14956.3,13142.64,10.65,3800898.0,206.11666666666667,227.53333333333333,227.53333333333333,273.3666666666666,651.0
2005-12-31,1230.468253968254,829528.1538461539,829528.1538461539,3.9760655737704917,4.47765625,2.3,5.6,15041.2,13324.2,10.92,3773007.0,216.52999999999997,225.36666666666667,225.36666666666667,270.90000000000003,658.0
2006-03-31,1283.6570967741936,837970.7692307692,837970.7692307692,4.4672580645161295,4.563384615384615,5.5,8.5,15244.1,13599.16,11.36,4021744.0,230.32666666666668,216.9,216.9333333333333,265.26666666666665,662.0
2006-06-30,1280.7969841269842,843554.0769230769,843554.0769230769,4.90375,5.063846153846153,1.0,4.6,15281.5,13753.42,10.35,4312921.0,225.21666666666667,226.79999999999998,227.0666666666667,274.43333333333334,663.0
2006-09-30,1288.3395238095238,846449.5384615385,846449.5384615385,5.249365079365079,4.886923076923076,0.6,3.4,15304.5,13870.19,10.26,4438120.0,212.88666666666666,225.0666666666667,225.33333333333334,272.2,678.0
2006-12-31,1388.637619047619,858432.4615384615,858432.4615384615,5.245645161290323,4.623384615384615,3.4,4.6075,15433.6,14039.56,10.37,4721319.0,217.97666666666666,219.4,219.03333333333333,266.96666666666664,681.0
2007-03-31,1424.3819672131149,866298.2307692308,866298.2307692308,5.2619354838709675,4.675692307692308,1.2,4.682121212121212,15479.0,14215.65,10.92,5165969.0,241.81333333333336,214.1,212.63333333333333,260.8,687.0
2007-06-30,1497.17873015873,871345.0769230769,871345.0769230769,5.24890625,4.839846153846153,2.6,4.846818181818182,15577.8,14402.08,9.64,5471953.0,228.98333333333335,223.76666666666665,223.46666666666667,272.73333333333335,693.0
2007-09-30,1489.464126984127,873069.4615384615,873069.4615384615,5.09031746031746,4.732769230769231,2.4,4.730757575757576,15671.6,14564.12,10.14,5605568.0,220.96666666666667,221.16666666666666,220.26666666666665,267.76666666666665,698.0
2007-12-31,1495.7475,883752.0,883752.0,4.4964516129032255,4.257272727272728,2.5,4.2564179104477615,15767.1,14715.06,10.42,5700207.0,237.67333333333332,207.46666666666667,205.70000000000002,254.03333333333333,700.0
2008-03-31,1350.6618032786885,889980.3076923077,889980.3076923077,3.1688709677419356,3.647076923076923,-1.6,3.5887878787878784,15702.9,14706.54,11.52,5909842.0,248.5666666666667,198.53333333333333,196.13333333333333,243.33333333333334,713.0
2008-06-30,1371.6275,891811.5384615385,891811.5384615385,2.0903125,3.863076923076923,2.3,3.871212121212121,15792.8,14865.7,10.79,5571691.0,253.67999999999998,207.9333333333333,206.4,251.4,722.0
2008-09-30,1252.0203125,938532.8461538461,938532.8461538461,1.9575,3.8433333333333333,-2.1,3.799402985074627,15709.6,14899.0,13.78,5513554.0,252.89333333333335,201.4,200.36666666666667,243.76666666666665,724.0
2008-12-31,911.9775,2024198.9285714286,2024198.9285714286,0.5340322580645162,3.2024242424242426,-8.5,3.0411940298507463,15366.6,14608.21,16.86,5430768.0,293.29,180.76666666666665,180.20000000000002,223.03333333333333,727.0
2009-03-31,807.6659016393443,1967201.1666666667,1967201.1666666667,0.18704918032786885,2.7003125,-4.6,2.584923076923077,15187.5,14430.9,18.63,5118800.0,297.07666666666665,167.56666666666666,167.26666666666665,209.23333333333335,732.0
2009-06-30,892.6014285714285,2106869.6923076925,2106869.6923076925,0.17859375,3.298153846153846,-0.7,3.2269696969696966,15161.8,14381.24,18.97,4977402.0,301.2166666666667,174.36666666666667,174.16666666666666,218.4333333333333,737.0
2009-09-30,995.74828125,2061918.2142857143,2061918.2142857143,0.15461538461538463,3.499090909090909,1.5,3.475223880597015,15216.6,14448.88,19.29,5121453.0,281.7766666666667,178.23333333333335,178.23333333333335,224.5333333333333,742.0
